proof_A,proof_B,similarity,already_merged_by_heuristic,suggested_canonical
Diagnostic de vulnérabilité aux inondations du site ou Plan de Continuité d'Activité (PCA) intégrant le risque de crue,Diagnostic de vulnérabilité aux inondations ou Plan de Continuité d'Activité (PCA) intégrant le risque de crue,0.9747,False,Diagnostic de vulnérabilité aux inondations ou Plan de Continuité d'Activité (PCA)...
Attestation d'adhésion à un éco-organisme en vigueur et Identifiant Unique (IDU) généré par l'ADEME (portail SYDEREP),Attestation d'adhésion à un éco-organisme et Numéro d'identifiant unique (IDU) généré par l'ADEME (SYDEREP),0.9549,False,Attestation d'adhésion à un éco-organisme et Numéro d'identifiant unique (IDU) gén...
Certificat d'urbanisme ou Arrêté de permis de construire (justifiant la conformité au Plan Local d'Urbanisme - PLU),Certificat d'urbanisme ou Permis de construire validé en conformité avec le zonage du PLU (Plan Local d'Urbanisme),0.9402,False,Certificat d'urbanisme ou Permis de construire validé en conformité avec le zonage...
Rapport d'étude de faisabilité technico-économique des approvisionnements en énergie (réalisé par un bureau d'études avant le dépôt du permis de construire),Rapport d'étude de faisabilité technico-économique des solutions d'approvisionnement en énergie (document obligatoire avant le dépôt du permis de construire).,0.9348,False,Suivi des Rejets & Consommations d'Eau
"Registre chronologique de production, d'expédition et de traitement des déchets (incluant les métaux et huiles de coupe) et attestation annuelle de tri '7 flux'.",Registre chronologique de suivi des déchets (incluant les métaux et les huiles de coupe) et justificatifs de tri '5 flux',0.9286,False,Registre chronologique de suivi des déchets (incluant les métaux et les huiles de ...
Registre spécial des alertes en matière de santé publique et d'environnement (ou Procédure interne de recueil des signalements des lanceurs d'alerte),Registre spécial des alertes en matière de santé publique et d'environnement (ou procédure interne de recueil des signalements affichée).,0.9281,False,Registre spécial des alertes en matière de santé publique et d'environnement (ou p...
Registre chronologique de suivi des déchets (incluant les métaux et les huiles de coupe) et justificatifs de tri '5 flux',"Registre de suivi chronologique des déchets (incluant les métaux, huiles de coupe et emballages souillés) à jour",0.9111,False,"Registre de suivi chronologique des déchets (incluant les métaux, huiles de coupe ..."
Registre chronologique de suivi des déchets (incluant les Bordereaux de Suivi de Déchets - BSD) et attestations de tri 5 flux.,Registre chronologique de suivi des déchets (sortants) et attestations de tri à la source (Tri 5 Flux),0.9055,False,Bordereaux de Suivi & Registre des Déchets
Rapport et conclusions motivées du commissaire enquêteur (ou Arrêté préfectoral d'ouverture d'enquête publique mentionnant l'objet et le périmètre),Rapport et conclusions motivées du commissaire enquêteur (ou attestation d'affichage en mairie du dossier de consultation du public),0.9016,False,Mesures & Rapports des Émissions Air
Fiches de Données de Sécurité (FDS) à jour (sections 2 et 3) et étiquetage des bacs de fluides de coupe/huiles de process conforme aux nouvelles mentions de danger.,"Fiches de Données de Sécurité (FDS) à jour des fluides de coupe et huiles de laminage (Vérification des rubriques 3, 15 et conformité à l'annexe XVII).",0.8939,False,Fiches de Données de Sécurité (FDS)
Déclaration annuelle de la TGAP (Taxe Générale sur les Activités Polluantes) et justificatifs de paiement associés.,"Déclaration annuelle de la TGAP (Taxe Générale sur les Activités Polluantes) transmise aux services fiscaux/douaniers, cohérente avec les rubriques ICPE du site.",0.8885,False,Dossier de Conformité ICPE / Autorisations
Dossier d'exploitation de l'équipement sous pression (ESP) incluant le certificat de conformité au CTP et les rapports d'inspection périodique.,Dossier d'exploitation de l'équipement sous pression (ESP) incluant le compte-rendu d'inspection périodique ou l'attestation de l'organisme habilité mentionnant la dispense de vérification intérieure.,0.8845,False,Dossier d'exploitation de l'équipement sous pression (ESP) incluant le compte-rend...
Registre chronologique de suivi des déchets (incluant les métaux et les huiles de coupe) et justificatifs de tri '5 flux',Registre chronologique de suivi des déchets (sortants) et attestations de tri à la source (Tri 5 Flux),0.8838,False,Registre chronologique de suivi des déchets (sortants) et attestations de tri à la...
Registre chronologique de suivi des déchets (RSD) à jour intégrant les justificatifs de tri à la source (attestation tri 5/7 flux),Registre chronologique de suivi des déchets (sortants) et attestations de tri à la source (Tri 5 Flux),0.8819,False,Registre chronologique de suivi des déchets (sortants) et attestations de tri à la...
Rapport de contrôle périodique de radioprotection (si présence de sources pour le contrôle non destructif ou de détecteurs de niveau),Rapport de contrôle technique de radioprotection (réalisé par un organisme vérificateur accrédité ou le Conseiller en Radioprotection) concernant les dispositifs de contrôle non destructif ou les portiques de détection.,0.8797,False,Suivi des Rejets & Consommations d'Eau
