raw,cluster
Accord d'entreprise ou PV de consultation du CSE concernant l'aménagement du temps de travail (travail exceptionnel du dimanche ou en soirée).,335
Accusé de réception (AR) d'un dossier de demande administrative (ex: demande de modification d'une ICPE ou permis de construire) daté de plus de deux mois sans réponse de l'administration.,319
Accusé de réception daté d'un dossier de demande administrative (ex: modification d'installation ICPE) accompagné de la preuve d'absence de réponse de l'administration sous 2 mois.,353
Accusé de réception de dépôt de dossier (préfecture ou administration) mentionnant la date de réception et les délais de réponse pour accord tacite.,311
"Accusé de réception de dépôt de dossier ICPE (ex: rubrique 2560 pour le travail des métaux) généré par le téléservice, attestant du délai d'instruction pour application du principe 'Silence vaut accord'.",255
Accusé de réception de dépôt de dossier ICPE ou demande d'autorisation administrative avec date de réception faisant foi pour le calcul des délais de 'Silence vaut accord'.,272
Accusé de réception de la télédéclaration (récépissé DMS) téléchargé sur le portail L'OAP (Observatoire des Appareils à Pression).,252
Accusé de réception de la télédéclaration annuelle GEREP (portail I-REP) et récapitulatif des tonnages de déchets expédiés.,366
Accusé de réception de la télédéclaration annuelle GEREP (émissions et déchets),312
Accusé de réception de la télédéclaration annuelle des émissions et des déchets (GEREP) ou Registre de suivi des déchets dangereux et non-dangereux à jour.,377
Accusé de réception de la télédéclaration annuelle des émissions et des déchets sur le portail GEREP (IREP) pour l'année N-1.,24
Accusé de réception de la télédéclaration annuelle des émissions et des déchets sur le portail GEREP (ou GIDAF pour les mesures d'autosurveillance).,24
Accusé de réception du dépôt de la version dématérialisée (VNC - Version Non Confidentielle) du dossier ICPE transmis à la DREAL pour publication.,263
Accusé de réception électronique (ARE) ou Accusé d'enregistrement électronique (AEE) suite à une télédéclaration ICPE ou un dossier d'urbanisme.,259
Acte de propriété ou notification d'arrêté de déclaration d'utilité publique (DUP) en cas d'extension/projet public.,1
Affichage en magasin/point de retrait des modalités de reprise (1 pour 1 ou 1 pour 0) et registre de suivi des DEEE repris,205
Arrêté préfectoral complémentaire de remise en état ou Mémoire de réhabilitation validé par l'inspection des installations classées,299
Arrêté préfectoral d'autorisation (ou de prescriptions complémentaires) au titre de la Loi sur l'Eau (IOTA) incluant l'étude d'incidence environnementale.,373
Arrêté préfectoral d'autorisation au titre de la Loi sur l'eau (IOTA) ou récépissé de dépôt de dossier d'autorisation unique.,296
Arrêté préfectoral d'autorisation d'exploiter (ICPE) en vigueur et certificat de non-recours ou registre de veille juridique.,275
Arrêté préfectoral d'autorisation d'exploiter (incluant les prescriptions spéciales et le dossier de demande d'autorisation unique),191
Arrêté préfectoral d'autorisation ou d'enregistrement (ICPE) en vigueur sur le site,200
"Arrêté préfectoral d'autorisation, d'enregistrement ou Récépissé de déclaration ICPE à jour",342
Attestation annuelle d'éligibilité au taux réduit (TICFE/TICGN) transmise au fournisseur d'énergie et calcul de l'intensité énergétique de l'entreprise.,271
Attestation annuelle de collecte et de valorisation des déchets (Attestation 5 flux) remise par le prestataire de déchets.,256
Attestation d'adhésion à un éco-organisme en vigueur et Identifiant Unique (IDU) généré par l'ADEME (portail SYDEREP),18
Attestation d'adhésion à un éco-organisme et Numéro d'identifiant unique (IDU) généré par l'ADEME (SYDEREP),18
Attestation d'agrément CNAPS du prestataire de sécurité et copie des cartes professionnelles à jour des agents de gardiennage.,276
Attestation d'application du dispositif de suramortissement pour l'investissement productif (achat de machines de découpe laser ou presses hydrauliques) ou justificatif de télédéclaration de la TGAP.,237
Attestation d'assurance multirisque professionnelle à jour incluant les clauses d'extension de garantie 'Catastrophes Naturelles' et preuve de mise à jour du Plan de Continuité d'Activité (PCA).,210
Attestation d'exonération ou de taux réduit (Cerfa n°13990) dûment visée par le bureau des douanes et registre de suivi des consommations de houille.,264
Attestation d'exonération ou de taux réduit de TICGN (formulaire CERFA) visée par les douanes et dossier technique justifiant l'usage (ex: procédé de traitement thermique ou métallurgique).,198
Attestation d'information sur les Secteurs d'Information sur les Sols (SIS) annexée au contrat de bail ou à l'acte de vente.,375
Attestation de bureau d'études certifié (LNE ou équivalent) garantissant la prise en compte des mesures de gestion de la pollution (Attestation ATTES-ALUR) ou État des Risques et Pollutions (ERP) à jour.,285
Attestation de bureau d'études certifié (type ATTES-MÉMO ou ATTES-TRAVAUX) ou Rapport de diagnostic de pollution des sols (IEM/EQRS),245
Attestation de capacité du prestataire externe (en cours de validité) pour la manipulation des fluides frigorigènes.,217
"Attestation de conformité REACH (Certificat SVHC) fournie par le fournisseur de matières premières (ex: acier, inox, laiton) confirmant l'absence ou la présence de substances à plus de 0,1% m/m.",331
"Attestation de conformité REACH (SVHC) du fournisseur de métal ou déclaration de présence de plomb (Pb) si > 0,1%",288
"Attestation de conformité REACH (déclaration de présence/absence de SVHC > 0,1%) fournie par les fournisseurs de matière première (acier, aluminium, laiton).",224
"Attestation de conformité REACH ou Déclaration du fournisseur de métal certifiant l'absence ou la présence de substances SVHC au-delà de 0,1% (ex: Plomb dans certains alliages)",254
"Attestation de conformité REACH par article (Certificat de présence de SVHC < 0,1% pour chaque composant élémentaire du produit fini)",269
"Attestation de conformité REACH/POP des fournisseurs d'huiles de coupe ou de lubrifiants, garantissant l'absence de paraffines chlorées à chaîne courte (SCCP).",337
Attestation de conformité aux Obligations Légales de Débroussaillement (OLD) ou mise à jour du Plan d'Opération Interne (POI) intégrant le risque de lisière,213
Attestation de conformité du fournisseur (ou FDS section 15) certifiant la présence du fabricant de la substance active sur la liste de l'ECHA (Article 95).,0
Attestation de conformité du fournisseur d'emballages ou fiche technique précisant l'épaisseur des sacs (doit être > 50 µm pour les sacs réutilisables).,303
Attestation de conformité du fournisseur ou Fiche de Données de Sécurité (FDS - Section 15) des fluides de coupe/lubrifiants certifiant que le fournisseur de la substance active est bien inscrit sur la liste de l'ECHA (Article 95).,0
Attestation de contrôle d'étanchéité annuel (Cerfa 15497) des équipements climatiques ou groupes froids,329
Attestation de contrôle technique (RVRAT) certifiant le respect des règles Eurocode 8 ou notice de sécurité parasismique du dossier de construction.,215
Attestation de localisation du site hors zone de protection (AAC) ou Diagnostic de vulnérabilité des rejets d'huiles et solvants avec plan de rétention aux normes.,221
Attestation de mise en sécurité du site (ATTES-SÉCUR) délivrée par un bureau d'études certifié LNE.,324
Attestation de mise en sécurité du site et mémoire de cessation d'activité (Art. L. 512-17),352
Attestation de mise en sécurité du site ou Contrat de Tiers Demandeur validé par le Préfet,257
Attestation de mise en sécurité et mémoire de réhabilitation (certifiés par un bureau d'études tiers),251
Attestation de paramétrage des horloges astronomiques ou compte-rendu de vérification des dispositifs de coupure automatique,341
Attestation de prise en compte de la réglementation thermique (RT 2012) à l'achèvement des travaux.,11
Attestation de prise en compte de la réglementation thermique à l'achèvement des travaux (générée par un contrôleur technique ou un architecte).,11
"Attestation de prise en compte des exigences de performance énergétique et environnementale (RE2020) à l'achèvement des travaux, visée par un contrôleur technique ou un architecte.",19
Attestation de prise en compte des exigences de performance énergétique et environnementale (RE2020) à l'achèvement des travaux.,19
